County,Mean_Offense,Median_Offense,Variance_Offense,Offense_Std. Dev.,Rank,Name,Named For,Variance_percent,LIndex
Gaines,6.607142857142857,7.0,9.58831168831169,3.0964999093027097,83,Gaines,James T. Gaines (1776-1856),0.0037218715291888874,5
Galveston,110.82845188284519,99.0,2742.2867707945384,52.36684801278896,84,Galveston,the county seat,1.064466757952116,5
Garza,4.043478260869565,4.0,3.0434782608695645,1.7445567519772938,85,Garza,family of Jose Antonio de la Garza (1776-1851),0.0011813795230128023,5
Gillespie,11.674698795180722,10.0,41.807522774022935,6.4658737053876125,86,Gillespie,Robert A. Gillespie (1815-46),0.016228324002882974,5
Glasscock,1.0,1.0,0.0,0.0,87,Glasscock,George Washington Glasscock (1810-68),0.0,5
Goliad,1.8888888888888888,2.0,0.8611111111111112,0.927960727138337,88,Goliad,the county seat,0.0003342553967889398,5
Gonzales,11.366197183098592,10.0,33.26398390342051,5.767493728078125,89,Gonzales,the county seat,0.012911999386550781,5
Gray,14.929203539823009,14.0,58.887800252844514,7.673838690827721,90,Gray,Peter W. Gray (1819-74),0.02285833359430727,5
Grayson,75.79304897314375,60.0,1891.553622492851,43.491994924271424,91,Grayson,Peter W. Grayson (1788-1838),0.7342397496393728,5
Gregg,81.07283763277694,87.0,1485.0068446711675,38.535786545381,92,Gregg,John Gregg (1828-1864),0.5764314798578933,5
Grimes,5.679245283018868,6.0,2.9912917271407835,1.7295351187937131,93,Grimes,Jesse Grimes (1788-1866),0.0011611224036777083,5
Guadalupe,32.44394618834081,32.0,226.5182402133073,15.050522921590044,94,Guadalupe,the Guadalupe River,0.08792703204669454,5
Hale,17.454545454545453,12.0,71.38782318598831,8.449131504834583,95,Hale,John C. Hale (1806-36),0.027710436965726552,5
Hall,2.8666666666666667,3.0,0.8380952380952381,0.9154754164341269,96,Hall,Warren D.C. Hall (1788-1867),0.0003253213815752262,5
Hamilton,6.2,6.0,9.852631578947367,3.1388901826835816,97,Hamilton,James Hamilton Jr. (1786-1857),0.0038244719355518208,5
Hansford,1.5714285714285714,2.0,0.2857142857142857,0.5345224838248488,98,Hansford,John M. Hansford (?-1844),0.00011090501644609982,5
Hardeman,3.740740740740741,4.0,0.8148148148148153,0.9026709338484403,99,Hardeman,Bailey (1795-1836) and T.J. Hardeman (1788-1854),0.00031628467653147007,5
Hardin,13.535714285714286,13.0,16.250965250965255,4.031248597018702,100,Hardin,family of William Hardin (1801-39),0.006308097489481546,5
Harris,820.0714461085195,844.0,84890.43099059118,291.3596248463249,101,Harris,John R. Harris (1790-1829),32.95171125794806,1
